
Table 1:Summary Statistics
====================================================================
      variable    mean    n   0 0.05 0.1 0.25  0.5  0.75 0.9 0.95 1 
--------------------------------------------------------------------
1      ofjobs     3.661 4,870 1  2    2   3     4    4    5   6   7 
2     yearsexp    7.843 4,870 1  2    3   5     6    9   14   19  44
3      honors     0.053 4,870 0  0    0   0     0    0    0   1   1 
4    volunteer    0.411 4,870 0  0    0   0     0    1    1   1   1 
5     military    0.097 4,870 0  0    0   0     0    0    0   1   1 
6     empholes    0.448 4,870 0  0    0   0     0    1    1   1   1 
7   workinschool  0.560 4,870 0  0    0   0     1    1    1   1   1 
8      email      0.479 4,870 0  0    0   0     0    1    1   1   1 
9  computerskills 0.821 4,870 0  0    0   1     1    1    1   1   1 
10 specialskills  0.329 4,870 0  0    0   0     0    1    1   1   1 
11      eoe       0.291 4,870 0  0    0   0     0    1    1   1   1 
12    manager     0.152 4,870 0  0    0   0     0    0    1   1   1 
13   supervisor   0.077 4,870 0  0    0   0     0    0    0   1   1 
14   secretary    0.333 4,870 0  0    0   0     0    1    1   1   1 
15   offsupport   0.119 4,870 0  0    0   0     0    0    1   1   1 
16    salesrep    0.151 4,870 0  0    0   0     0    0    1   1   1 
17  retailsales   0.168 4,870 0  0    0   0     0    0    1   1   1 
18      req       0.787 4,870 0  0    0   1     1    1    1   1   1 
19     expreq     0.435 4,870 0  0    0   0     0    1    1   1   1 
20     comreq     0.125 4,870 0  0    0   0     0    0    1   1   1 
21    educreq     0.107 4,870 0  0    0   0     0    0    1   1   1 
22    compreq     0.437 4,870 0  0    0   0     0    1    1   1   1 
23     orgreq     0.073 4,870 0  0    0   0     0    0    0   1   1 
24     manuf      0.083 4,870 0  0    0   0     0    0    0   1   1 
25    transcom    0.030 4,870 0  0    0   0     0    0    0   0   1 
26    bankreal    0.085 4,870 0  0    0   0     0    0    0   1   1 
27     trade      0.214 4,870 0  0    0   0     0    0    1   1   1 
28   busservice   0.268 4,870 0  0    0   0     0    1    1   1   1 
29   othservice   0.155 4,870 0  0    0   0     0    0    1   1   1 
30    missind     0.165 4,870 0  0    0   0     0    0    1   1   1 
31     black      0.500 4,870 0  0    0   0   0.500  1    1   1   1 
32    chicago     0.555 4,870 0  0    0   0     1    1    1   1   1 
33      high      0.502 4,870 0  0    0   0     1    1    1   1   1 
34     female     0.769 4,870 0  0    0   1     1    1    1   1   1 
35    college     0.720 4,870 0  0    0   0     1    1    1   1   1 
36   call_back    0.080 4,870 0  0    0   0     0    0    0   1   1 
--------------------------------------------------------------------
